,date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
713240,2020-01-15,SG,0.0,0.0,,,0.0,0.0,,
713241,2020-01-16,SG,0.0,0.0,,,0.0,0.0,,
713242,2020-01-17,SG,0.0,0.0,,,0.0,0.0,,
713243,2020-01-18,SG,0.0,0.0,,,0.0,0.0,,
713244,2020-01-19,SG,0.0,0.0,,,0.0,0.0,,
713245,2020-01-20,SG,0.0,0.0,,,0.0,0.0,,
713246,2020-01-21,SG,0.0,0.0,,,0.0,0.0,,
713247,2020-01-22,SG,1.0,0.0,,,1.0,0.0,,
713248,2020-01-23,SG,2.0,0.0,,,3.0,0.0,,
713249,2020-01-24,SG,1.0,0.0,,,4.0,0.0,,
713250,2020-01-25,SG,0.0,0.0,,,4.0,0.0,,
713251,2020-01-26,SG,1.0,0.0,,,5.0,0.0,,
713252,2020-01-27,SG,2.0,0.0,,,7.0,0.0,,
713253,2020-01-28,SG,3.0,0.0,,,10.0,0.0,,
713254,2020-01-29,SG,3.0,0.0,,,13.0,0.0,,
713255,2020-01-30,SG,3.0,0.0,,,16.0,0.0,,
713256,2020-01-31,SG,2.0,0.0,,,18.0,0.0,,
713257,2020-02-01,SG,0.0,0.0,,,18.0,0.0,,
713258,2020-02-02,SG,0.0,0.0,,,18.0,0.0,,
713259,2020-02-03,SG,6.0,0.0,,,24.0,0.0,,
713260,2020-02-04,SG,4.0,0.0,,,28.0,0.0,,
713261,2020-02-05,SG,2.0,0.0,,,30.0,0.0,,
713262,2020-02-06,SG,3.0,0.0,,,33.0,0.0,,
713263,2020-02-07,SG,7.0,0.0,,,40.0,0.0,,
713264,2020-02-08,SG,3.0,0.0,,,43.0,0.0,,
713265,2020-02-09,SG,2.0,0.0,,,45.0,0.0,,
713266,2020-02-10,SG,2.0,0.0,,,47.0,0.0,,
713267,2020-02-11,SG,3.0,0.0,,,50.0,0.0,,
713268,2020-02-12,SG,8.0,0.0,,,58.0,0.0,,
713269,2020-02-13,SG,9.0,0.0,,,67.0,0.0,,
713270,2020-02-14,SG,5.0,0.0,,,72.0,0.0,,
713271,2020-02-15,SG,3.0,0.0,,,75.0,0.0,,
713272,2020-02-16,SG,2.0,0.0,,,77.0,0.0,,
713273,2020-02-17,SG,4.0,0.0,,,81.0,0.0,,
713274,2020-02-18,SG,3.0,0.0,,,84.0,0.0,,
713275,2020-02-19,SG,1.0,0.0,,,85.0,0.0,,
713276,2020-02-20,SG,1.0,0.0,,,86.0,0.0,,
713277,2020-02-21,SG,3.0,0.0,,,89.0,0.0,,
713278,2020-02-22,SG,0.0,0.0,,,89.0,0.0,,
713279,2020-02-23,SG,1.0,0.0,,,90.0,0.0,,
713280,2020-02-24,SG,1.0,0.0,,,91.0,0.0,,
713281,2020-02-25,SG,2.0,0.0,,,93.0,0.0,,
