,search_trends_fever,search_trends_low_grade_fever,search_trends_chills,search_trends_cough,search_trends_shallow_breathing,search_trends_shortness_of_breath,search_trends_fatigue,search_trends_muscle_weakness,search_trends_cluster_headache,search_trends_headache,search_trends_sore_throat,search_trends_nasal_congestion,search_trends_nausea,search_trends_vomiting,search_trends_diarrhea,date,location_key
9358,3.71,0.07,0.25,4.85,0.1,0.99,7.09,0.2,0.26,5.0,1.79,1.54,2.02,2.92,4.13,2021-04-29,GB
9359,3.49,0.07,0.28,4.89,0.06,0.91,6.21,0.25,0.33,4.87,1.71,1.46,1.85,2.8,4.19,2021-04-30,GB
9360,3.43,0.08,0.28,5.39,0.05,0.96,6.06,0.21,0.24,5.11,1.9,1.72,2.17,3.04,4.07,2021-05-01,GB
9361,3.29,0.08,0.25,5.15,0.06,0.92,6.02,0.24,0.24,5.03,1.98,1.69,2.27,3.4,4.11,2021-05-02,GB
9362,3.77,0.06,0.3,5.56,0.1,1.05,6.55,0.2,0.26,5.29,2.2,1.77,2.49,3.68,4.46,2021-05-03,GB
9363,3.95,0.05,0.28,5.56,0.1,1.13,7.18,0.25,0.33,5.25,2.33,1.6,2.35,3.36,4.31,2021-05-04,GB
9364,3.68,0.08,0.3,5.34,0.08,1.11,7.06,0.25,0.3,5.13,2.35,1.63,2.18,3.3,4.17,2021-05-05,GB
9365,3.78,0.08,0.31,5.36,0.06,1.07,6.86,0.25,0.25,5.0,2.29,1.61,2.18,2.96,4.2,2021-05-06,GB
9366,3.4,0.11,0.26,4.99,0.06,0.97,6.02,0.25,0.29,4.89,1.92,1.55,2.11,2.88,3.87,2021-05-07,GB
9367,3.71,0.08,0.2,5.29,0.05,1.03,6.15,0.21,0.33,5.26,2.23,1.67,2.12,3.03,4.02,2021-05-08,GB
9368,3.95,0.09,0.24,5.75,0.07,1.11,7.11,0.2,0.28,5.43,2.44,1.77,2.26,3.56,4.41,2021-05-09,GB
9369,4.13,0.09,0.23,5.74,0.07,1.1,7.67,0.26,0.38,5.36,2.29,1.48,2.27,3.35,4.49,2021-05-10,GB
9370,3.9,0.08,0.24,5.71,0.05,1.11,7.46,0.24,0.34,5.54,2.35,1.65,2.21,3.07,4.07,2021-05-11,GB
9371,3.88,0.06,0.31,5.56,0.05,1.09,7.25,0.28,0.31,5.34,2.29,1.47,2.05,3.0,4.08,2021-05-12,GB
9372,3.66,0.07,0.2,5.56,0.06,1.05,7.3,0.24,0.25,5.12,2.12,1.46,2.08,2.8,4.0,2021-05-13,GB
9373,3.62,0.07,0.22,5.13,0.07,1.0,6.59,0.19,0.23,4.45,2.09,1.45,2.1,2.85,4.01,2021-05-14,GB
9374,3.66,0.06,0.24,5.58,0.07,1.0,6.46,0.2,0.31,5.22,2.36,1.66,2.38,3.25,4.32,2021-05-15,GB
9375,4.14,0.09,0.26,5.96,0.07,1.06,7.18,0.23,0.28,5.42,2.56,1.72,2.27,3.57,4.54,2021-05-16,GB
9376,4.15,0.1,0.27,6.26,0.06,1.07,7.13,0.21,0.35,5.16,2.56,1.58,2.2,3.43,4.69,2021-05-17,GB
9377,4.06,0.07,0.25,5.88,0.07,0.98,7.29,0.22,0.35,5.12,2.55,1.58,2.23,3.2,4.3,2021-05-18,GB
9378,4.12,0.07,0.24,6.02,0.07,1.0,7.08,0.29,0.27,5.18,2.55,1.59,2.15,3.05,4.22,2021-05-19,GB
9379,4.08,0.08,0.22,6.11,0.09,0.94,7.12,0.26,0.31,4.96,2.56,1.67,2.18,3.03,4.22,2021-05-20,GB
9380,3.91,0.06,0.24,5.86,0.06,0.92,6.33,0.3,0.25,4.83,2.35,1.51,2.09,2.95,4.2,2021-05-21,GB
9381,3.69,0.07,0.29,5.64,0.08,0.98,6.0,0.17,0.26,4.96,2.27,1.8,2.23,3.27,4.15,2021-05-22,GB
9382,4.19,0.07,0.32,6.49,0.05,0.99,6.48,0.19,0.23,5.14,2.51,1.79,2.26,3.7,4.74,2021-05-23,GB
9383,4.55,0.09,0.29,6.54,0.08,1.16,7.19,0.2,0.29,5.1,2.71,1.82,2.32,3.28,4.66,2021-05-24,GB
9384,4.46,0.1,0.28,6.92,0.08,1.13,7.44,0.22,0.28,5.14,2.65,1.79,2.19,3.22,4.48,2021-05-25,GB
9385,4.26,0.08,0.24,6.75,0.07,1.02,7.25,0.29,0.28,5.18,2.56,1.7,2.08,3.08,4.3,2021-05-26,GB
9386,4.25,0.08,0.22,6.29,0.1,0.99,6.78,0.27,0.27,5.16,2.52,1.56,2.08,2.82,4.24,2021-05-27,GB
9387,4.04,0.05,0.29,6.15,0.05,0.96,6.45,0.22,0.25,5.08,2.49,1.66,2.09,3.05,4.06,2021-05-28,GB
9388,4.14,0.1,0.23,6.37,0.05,0.94,5.85,0.2,0.3,5.05,2.38,1.73,2.04,3.46,4.0,2021-05-29,GB
9389,4.02,0.1,0.22,6.25,0.08,0.89,5.6,0.21,0.2,4.83,2.45,1.65,2.01,3.44,4.18,2021-05-30,GB
9390,4.16,0.1,0.21,6.63,0.09,0.88,5.99,0.27,0.21,4.59,2.65,1.93,2.0,3.31,4.51,2021-05-31,GB
9391,4.42,0.1,0.22,6.71,0.09,0.84,6.28,0.52,0.27,4.45,2.59,1.8,1.98,3.17,4.73,2021-06-01,GB
9392,4.42,0.09,0.21,6.4,0.07,0.94,6.42,0.24,0.25,4.44,2.66,1.81,1.95,3.09,4.47,2021-06-02,GB
9393,4.29,0.11,0.24,6.49,0.07,0.85,7.12,0.23,0.31,4.56,2.68,1.75,2.08,3.03,4.54,2021-06-03,GB
9394,4.08,0.11,0.25,6.0,0.05,0.83,5.92,0.26,0.22,4.55,2.24,1.5,2.12,3.06,4.51,2021-06-04,GB
9395,3.98,0.07,0.21,5.77,0.06,0.85,5.78,0.21,0.29,4.74,2.2,1.78,2.11,3.26,4.55,2021-06-05,GB
9396,4.49,0.08,0.23,6.03,0.06,0.98,6.51,0.23,0.31,5.03,2.48,1.64,2.26,3.54,5.01,2021-06-06,GB
9397,4.49,0.06,0.25,6.14,0.07,1.1,7.09,0.24,0.3,4.86,2.41,1.56,2.11,3.11,4.68,2021-06-07,GB
9398,4.16,0.07,0.19,5.65,0.06,0.9,6.74,0.3,0.28,4.73,2.27,1.64,1.9,2.85,4.45,2021-06-08,GB
9399,4.48,0.09,0.16,5.67,0.04,0.95,7.02,0.22,0.31,4.81,2.16,1.71,1.93,2.9,4.58,2021-06-09,GB
9400,4.73,0.1,0.24,5.46,0.06,1.0,6.92,0.18,0.27,4.67,2.14,1.68,1.93,3.15,4.53,2021-06-10,GB
9401,4.12,0.09,0.19,5.11,0.06,0.84,6.1,0.23,0.26,4.35,2.01,1.66,1.92,2.93,4.5,2021-06-11,GB
9402,3.88,0.09,0.21,4.99,0.04,0.84,5.27,0.2,0.25,4.43,2.03,1.69,1.95,3.12,4.52,2021-06-12,GB
9403,4.76,0.09,0.24,5.17,0.11,0.97,6.4,0.24,0.26,4.84,2.17,2.01,2.34,3.68,5.09,2021-06-13,GB
9404,4.73,0.08,0.24,5.5,0.07,1.03,7.17,0.24,0.24,4.61,2.21,1.67,2.12,3.32,4.9,2021-06-14,GB
9405,4.82,0.07,0.22,5.41,0.06,1.03,6.91,0.23,0.28,4.66,2.12,2.02,1.98,3.24,4.77,2021-06-15,GB
9406,5.13,0.13,0.23,5.46,0.09,1.06,6.65,0.25,0.29,4.78,2.11,2.4,2.17,3.32,4.95,2021-06-16,GB
9407,4.49,0.12,0.21,5.44,0.07,1.06,6.88,0.22,0.25,4.66,2.04,2.07,2.36,3.48,4.95,2021-06-17,GB
9408,4.01,0.07,0.22,5.07,0.05,0.89,6.17,0.26,0.26,4.3,1.91,1.76,2.27,3.17,4.68,2021-06-18,GB
9409,3.95,0.06,0.19,5.07,0.09,0.95,6.28,0.15,0.19,4.54,1.98,1.84,2.27,3.58,4.8,2021-06-19,GB
9410,4.42,0.1,0.28,5.68,0.06,0.92,7.11,0.21,0.23,4.9,2.27,1.83,2.65,4.26,5.38,2021-06-20,GB
9411,5.15,0.08,0.34,5.75,0.08,1.06,7.56,0.25,0.25,4.91,2.22,1.63,2.42,3.68,5.1,2021-06-21,GB
9412,4.55,0.1,0.29,5.53,0.08,0.95,7.38,0.24,0.21,5.05,2.06,1.81,2.48,3.72,4.87,2021-06-22,GB
9413,4.77,0.07,0.24,5.74,0.08,1.03,7.38,0.24,0.24,5.19,2.4,2.04,2.29,3.61,4.89,2021-06-23,GB
9414,4.72,0.1,0.23,5.51,0.06,1.04,7.43,0.2,0.25,4.59,2.16,1.88,2.22,3.29,4.92,2021-06-24,GB
9415,4.04,0.1,0.23,5.46,0.09,0.95,6.57,0.24,0.23,4.53,2.1,1.57,2.19,3.44,4.68,2021-06-25,GB
9416,4.2,0.08,0.28,5.39,0.06,0.89,6.32,0.18,0.22,4.98,2.12,1.94,2.46,3.6,4.77,2021-06-26,GB
9417,4.59,0.08,0.28,5.83,0.08,0.9,7.06,0.21,0.28,5.46,2.27,2.25,2.29,4.01,5.13,2021-06-27,GB
9418,4.78,0.11,0.27,5.92,0.09,1.02,7.08,0.22,0.25,5.03,2.31,2.18,2.52,3.82,5.09,2021-06-28,GB
9419,4.7,0.14,0.25,5.62,0.08,0.95,6.58,0.15,0.26,4.81,2.19,1.98,2.19,3.48,4.88,2021-06-29,GB
9420,4.79,0.14,0.3,5.86,0.07,0.96,6.92,0.28,0.29,4.85,2.45,2.06,2.19,3.49,4.77,2021-06-30,GB
9421,4.76,0.13,0.26,5.78,0.05,0.9,6.54,0.21,0.24,4.79,2.31,2.06,2.11,3.3,4.58,2021-07-01,GB
9422,4.73,0.1,0.27,5.75,0.07,0.97,6.5,0.27,0.24,4.64,2.23,2.19,2.07,3.42,4.58,2021-07-02,GB
9423,4.74,0.08,0.24,5.86,0.06,1.07,6.44,0.23,0.23,5.05,2.11,1.93,2.39,3.69,4.95,2021-07-03,GB
9424,5.23,0.15,0.31,6.43,0.08,1.22,7.01,0.21,0.21,5.48,2.4,1.97,2.48,3.89,5.33,2021-07-04,GB
9425,4.91,0.12,0.3,6.25,0.07,1.23,7.26,0.26,0.31,5.05,2.46,1.79,2.49,3.75,5.62,2021-07-05,GB
9426,4.72,0.08,0.32,6.44,0.07,1.21,7.35,0.26,0.28,5.09,2.36,1.79,2.4,3.46,5.23,2021-07-06,GB
9427,4.78,0.12,0.26,5.97,0.07,1.09,6.99,0.27,0.29,5.05,2.3,1.75,2.41,3.67,4.87,2021-07-07,GB
9428,4.87,0.08,0.28,5.81,0.06,0.99,6.69,0.23,0.26,5.03,2.42,1.81,2.26,3.54,4.66,2021-07-08,GB
9429,4.83,0.11,0.26,5.7,0.07,0.9,6.66,0.23,0.28,4.74,2.37,1.81,2.18,3.42,4.8,2021-07-09,GB
9430,4.83,0.1,0.28,6.21,0.06,1.09,6.53,0.27,0.27,5.09,2.43,1.93,2.37,3.77,5.21,2021-07-10,GB
9431,4.73,0.11,0.25,5.52,0.06,0.89,5.85,0.2,0.25,4.68,2.24,1.79,2.5,4.04,5.08,2021-07-11,GB
9432,5.15,0.09,0.3,6.57,0.1,1.19,7.43,0.23,0.28,5.05,2.59,1.73,2.65,4.27,5.26,2021-07-12,GB
9433,5.21,0.13,0.36,6.71,0.12,1.13,7.68,0.24,0.29,5.16,2.81,1.82,2.56,3.96,5.27,2021-07-13,GB
9434,5.41,0.13,0.34,6.41,0.08,0.95,7.46,0.26,0.35,5.03,2.53,1.79,2.34,3.79,5.08,2021-07-14,GB
9435,5.28,0.11,0.4,6.38,0.06,0.93,6.9,0.24,0.28,4.98,2.57,1.73,2.18,3.48,5.02,2021-07-15,GB
9436,5.13,0.1,0.25,5.96,0.08,0.91,6.21,0.18,0.3,4.81,2.24,1.73,2.09,6.37,6.24,2021-07-16,GB
9437,5.33,0.06,0.21,5.76,0.11,0.9,5.4,0.22,0.2,4.77,2.22,1.84,2.04,8.84,6.7,2021-07-17,GB
9438,5.47,0.12,0.31,5.83,0.07,0.85,5.8,0.22,0.19,4.64,2.33,1.71,2.31,5.77,6.73,2021-07-18,GB
9439,5.79,0.12,0.31,5.69,0.06,0.91,5.84,0.19,0.25,4.17,2.3,1.42,2.11,5.06,7.02,2021-07-19,GB
9440,5.52,0.16,0.26,5.55,0.06,0.97,5.97,0.3,0.18,4.22,2.11,1.36,2.16,5.23,7.12,2021-07-20,GB
9441,5.12,0.09,0.23,5.71,0.07,1.02,5.71,0.24,0.24,4.2,2.25,1.52,2.19,4.6,6.55,2021-07-21,GB
9442,4.96,0.12,0.22,5.27,0.06,0.86,5.89,0.23,0.24,4.27,2.26,1.19,2.3,4.52,6.35,2021-07-22,GB
9443,4.38,0.1,0.25,5.5,0.06,0.96,5.89,0.29,0.21,4.1,2.13,1.47,2.55,4.64,5.92,2021-07-23,GB
9444,4.36,0.12,0.27,5.69,0.06,0.95,5.97,0.19,0.18,4.6,2.39,1.59,2.69,4.74,6.26,2021-07-24,GB
9445,4.51,0.13,0.29,5.81,0.08,0.9,6.66,0.23,0.24,4.97,2.48,1.76,2.65,5.08,6.55,2021-07-25,GB
9446,4.99,0.12,0.21,6.04,0.05,0.94,7.11,0.29,0.21,4.73,2.54,1.48,2.6,4.87,6.66,2021-07-26,GB
9447,4.59,0.16,0.26,6.07,0.07,1.12,7.54,0.27,0.27,4.81,2.61,1.74,2.62,4.71,6.5,2021-07-27,GB
9448,4.32,0.07,0.27,5.95,0.1,1.09,7.49,0.19,0.24,4.94,2.37,1.5,2.53,4.54,5.84,2021-07-28,GB
9449,4.3,0.1,0.31,6.29,0.06,1.08,7.14,0.29,0.25,4.71,2.3,1.75,3.11,4.96,5.73,2021-07-29,GB
9450,4.1,0.08,0.25,5.71,0.07,0.92,6.27,0.2,0.26,4.66,2.45,1.57,2.84,4.73,5.44,2021-07-30,GB
9451,4.13,0.06,0.28,5.76,0.06,0.95,6.45,0.21,0.28,4.91,2.23,1.68,2.82,4.66,5.76,2021-07-31,GB
9452,4.13,0.11,0.29,5.6,0.08,0.99,6.59,0.22,0.32,5.2,2.49,1.71,2.76,4.97,6.1,2021-08-01,GB
9453,4.38,0.12,0.29,6.28,0.06,1.11,7.58,0.26,0.28,5.13,2.6,1.77,2.97,5.14,6.34,2021-08-02,GB
9454,4.32,0.1,0.3,5.92,0.06,1.06,7.43,0.26,0.21,5.01,2.74,1.83,2.46,4.84,6.12,2021-08-03,GB
9455,4.68,0.12,0.27,6.15,0.06,1.12,7.51,0.26,0.32,5.22,2.65,1.78,2.46,4.43,5.79,2021-08-04,GB
9456,4.44,0.1,0.3,6.02,0.06,1.18,7.3,0.2,0.29,4.94,2.48,1.83,2.41,4.06,5.66,2021-08-05,GB
9457,4.23,0.13,0.25,5.85,0.06,1.09,6.78,0.27,0.23,4.64,2.37,1.7,2.59,4.22,6.03,2021-08-06,GB
9458,4.25,0.08,0.24,5.9,0.07,0.95,6.29,0.19,0.31,5.0,2.25,1.75,2.65,4.6,5.77,2021-08-07,GB
9459,4.41,0.1,0.33,5.96,0.07,1.06,6.83,0.2,0.26,5.46,2.42,1.75,2.69,4.73,6.05,2021-08-08,GB
9460,4.28,0.09,0.28,6.21,0.05,0.98,7.12,0.25,0.27,5.28,2.63,1.74,2.59,4.62,6.21,2021-08-09,GB
9461,4.31,0.17,0.26,5.88,0.07,1.18,8.15,0.34,0.31,5.4,2.52,1.67,2.7,4.51,5.89,2021-08-10,GB
9462,4.31,0.09,0.29,5.94,0.11,1.2,7.67,0.31,0.28,5.51,2.58,1.74,2.58,4.28,5.78,2021-08-11,GB
9463,3.97,0.07,0.26,5.78,0.09,0.98,7.11,0.25,0.29,4.97,2.37,1.71,2.4,4.03,5.32,2021-08-12,GB
9464,3.97,0.09,0.26,5.53,0.06,0.91,6.89,0.26,0.27,4.83,2.39,1.71,2.51,4.08,5.38,2021-08-13,GB
9465,3.82,0.08,0.3,5.78,0.07,0.95,6.56,0.16,0.3,4.99,2.44,1.86,2.45,4.49,5.69,2021-08-14,GB
9466,4.18,0.09,0.23,5.68,0.09,0.95,7.01,0.25,0.32,5.32,2.43,1.81,2.92,4.66,6.23,2021-08-15,GB
9467,3.81,0.07,0.26,6.14,0.09,1.1,7.36,0.28,0.29,5.27,2.78,1.72,2.81,4.44,6.11,2021-08-16,GB
9468,4.34,0.12,0.28,6.26,0.08,1.09,7.64,0.25,0.28,5.22,2.88,1.71,2.89,4.7,5.85,2021-08-17,GB
9469,3.85,0.06,0.3,5.97,0.06,1.04,8.01,0.21,0.27,4.94,2.72,1.65,2.77,4.32,5.76,2021-08-18,GB
9470,3.89,0.1,0.28,6.04,0.07,1.13,7.41,0.27,0.31,5.13,2.64,1.7,2.66,4.26,5.53,2021-08-19,GB
9471,4.03,0.06,0.25,5.6,0.1,0.92,7.07,0.28,0.27,4.91,2.37,1.69,2.66,4.21,5.38,2021-08-20,GB
9472,4.05,0.1,0.25,5.72,0.08,0.94,6.61,0.21,0.22,5.12,2.23,1.7,2.43,4.16,5.6,2021-08-21,GB
9473,4.21,0.11,0.24,5.88,0.08,1.17,7.15,0.2,0.31,5.33,2.49,1.69,2.75,4.57,5.83,2021-08-22,GB
9474,3.17,0.11,0.19,4.44,0.08,0.87,6.11,0.26,0.23,4.12,1.82,0.97,2.33,3.6,5.08,2021-08-23,GB
9475,3.86,0.08,0.24,5.27,0.06,0.92,7.11,0.25,0.24,4.82,2.69,1.53,2.26,3.56,4.92,2021-08-24,GB
9476,4.26,0.1,0.35,5.72,0.06,1.05,7.28,0.22,0.26,5.0,2.72,1.62,2.52,4.11,5.76,2021-08-25,GB
9477,3.93,0.09,0.28,5.47,0.06,0.91,6.7,0.2,0.28,4.73,2.56,1.55,2.28,3.82,5.68,2021-08-26,GB
9478,3.75,0.06,0.29,5.39,0.07,0.89,6.34,0.21,0.23,4.56,2.37,1.74,2.42,3.94,5.23,2021-08-27,GB
9479,3.56,0.11,0.28,5.38,0.05,0.83,6.18,0.2,0.25,5.1,2.37,1.74,2.32,3.97,5.48,2021-08-28,GB
9480,3.59,0.09,0.33,5.5,0.07,0.94,6.39,0.13,0.17,4.92,2.5,1.81,2.64,4.44,5.68,2021-08-29,GB
9481,4.04,0.08,0.4,6.54,0.14,1.05,7.0,0.21,0.27,4.97,2.98,1.92,2.63,4.51,5.99,2021-08-30,GB
9482,4.0,0.1,0.33,6.64,0.07,1.0,7.08,0.2,0.22,4.88,3.29,1.88,2.76,4.57,5.87,2021-08-31,GB
9483,4.28,0.07,0.28,6.65,0.06,1.04,7.33,0.21,0.28,4.88,3.52,1.98,2.31,4.02,5.51,2021-09-01,GB
9484,4.21,0.1,0.31,6.92,0.07,0.96,6.96,0.23,0.28,4.95,3.22,2.0,2.95,4.36,5.29,2021-09-02,GB
9485,3.8,0.1,0.31,6.5,0.11,0.94,6.64,0.22,0.29,4.74,3.15,1.87,3.27,5.18,5.18,2021-09-03,GB
9486,3.78,0.06,0.31,6.51,0.07,0.95,6.36,0.2,0.33,4.98,2.88,2.07,2.61,4.51,5.24,2021-09-04,GB
9487,4.51,0.09,0.21,6.75,0.09,1.03,6.45,0.24,0.27,5.49,3.2,2.05,2.7,4.53,5.8,2021-09-05,GB
9488,4.38,0.1,0.25,6.99,0.05,1.07,7.07,0.24,0.29,5.23,3.25,2.01,2.48,4.12,5.46,2021-09-06,GB
9489,4.61,0.13,0.2,6.62,0.11,1.11,6.93,0.22,0.25,5.33,3.19,1.81,2.27,3.9,5.6,2021-09-07,GB
9490,4.38,0.08,0.35,6.51,0.09,1.02,6.96,0.25,0.34,5.09,3.19,1.75,2.27,3.82,5.51,2021-09-08,GB
9491,4.83,0.13,0.27,6.67,0.11,1.12,7.29,0.31,0.26,5.21,2.98,1.91,2.35,3.84,5.62,2021-09-09,GB
9492,4.31,0.12,0.22,6.52,0.05,1.12,6.63,0.25,0.28,4.76,2.74,1.63,2.32,4.02,5.34,2021-09-10,GB
9493,3.84,0.07,0.28,6.37,0.1,0.98,6.39,0.25,0.28,5.02,2.9,1.73,2.33,3.72,5.38,2021-09-11,GB
9494,4.1,0.09,0.29,6.98,0.06,1.0,6.83,0.21,0.29,5.4,3.3,2.05,2.63,4.21,5.78,2021-09-12,GB
9495,4.35,0.09,0.3,7.34,0.08,1.22,6.92,0.22,0.37,4.99,3.34,2.02,2.46,4.08,5.72,2021-09-13,GB
9496,4.37,0.07,0.33,7.51,0.07,1.11,6.87,0.22,0.29,5.03,3.49,1.88,2.4,4.13,5.58,2021-09-14,GB
9497,4.52,0.07,0.25,7.28,0.07,1.07,7.01,0.26,0.28,4.94,3.57,2.02,2.39,4.07,5.52,2021-09-15,GB
9498,4.48,0.1,0.31,7.25,0.06,1.11,6.76,0.23,0.26,4.8,3.82,2.22,2.46,4.1,5.68,2021-09-16,GB
9499,4.23,0.11,0.31,6.91,0.09,1.04,6.25,0.2,0.24,4.55,3.6,2.24,2.3,3.82,5.13,2021-09-17,GB
9500,4.64,0.1,0.25,7.55,0.08,0.88,6.17,0.25,0.24,4.78,3.91,2.44,2.31,3.96,5.34,2021-09-18,GB
9501,5.07,0.12,0.35,8.77,0.08,0.98,6.44,0.19,0.25,5.03,4.42,2.71,2.37,4.17,5.51,2021-09-19,GB
9502,4.81,0.1,0.28,8.43,0.09,1.03,6.49,0.22,0.31,5.04,4.22,2.47,2.4,4.13,5.53,2021-09-20,GB
9503,4.9,0.13,0.31,8.92,0.07,1.1,6.7,0.25,0.28,4.97,4.22,2.6,2.39,4.28,5.45,2021-09-21,GB
9504,4.74,0.07,0.32,8.85,0.08,1.13,6.56,0.22,0.25,4.77,4.45,2.48,2.23,3.64,4.94,2021-09-22,GB
9505,4.96,0.11,0.3,9.11,0.08,1.19,6.47,0.25,0.3,5.0,4.43,2.5,2.37,4.04,5.34,2021-09-23,GB
9506,6.56,0.1,0.23,10.59,0.07,0.99,5.89,0.19,0.25,4.55,4.06,2.63,2.21,3.69,4.96,2021-09-24,GB
9507,5.59,0.11,0.31,9.21,0.09,0.93,5.83,0.24,0.24,4.76,4.02,2.67,2.23,3.99,4.9,2021-09-25,GB
9508,5.3,0.11,0.38,9.49,0.12,1.11,6.25,0.22,0.26,5.0,4.65,2.66,2.54,4.53,5.47,2021-09-26,GB
9509,5.25,0.09,0.29,9.59,0.07,1.02,6.61,0.23,0.24,4.76,4.29,2.47,2.38,4.1,5.42,2021-09-27,GB
9510,5.07,0.11,0.32,9.82,0.06,1.1,6.48,0.22,0.3,4.59,4.16,2.57,2.34,4.1,5.32,2021-09-28,GB
9511,5.14,0.08,0.29,9.78,0.06,1.1,6.06,0.24,0.28,4.66,4.02,2.65,2.09,3.76,4.92,2021-09-29,GB
9512,4.66,0.08,0.26,9.57,0.07,1.08,5.96,0.2,0.3,4.64,3.78,2.45,2.16,3.72,4.86,2021-09-30,GB
9513,4.14,0.07,0.3,8.85,0.05,1.07,5.52,0.19,0.24,4.32,3.58,2.46,1.84,3.55,4.55,2021-10-01,GB
9514,4.62,0.07,0.31,9.6,0.09,0.95,5.64,0.17,0.24,4.67,3.75,2.69,2.09,3.65,4.88,2021-10-02,GB
9515,4.81,0.09,0.3,10.03,0.07,1.12,6.03,0.19,0.16,5.0,4.06,2.74,2.33,4.58,5.46,2021-10-03,GB
9516,5.03,0.1,0.33,10.01,0.07,1.08,6.71,0.18,0.27,4.72,4.11,2.58,2.19,4.09,5.36,2021-10-04,GB
9517,5.08,0.07,0.3,9.94,0.06,1.12,6.4,0.24,0.2,4.7,4.17,2.54,2.17,3.82,5.22,2021-10-05,GB
9518,5.44,0.1,0.28,9.83,0.08,1.08,6.65,0.28,0.27,5.0,3.94,2.73,2.06,3.77,4.96,2021-10-06,GB
9519,5.2,0.13,0.27,9.62,0.06,1.17,6.83,0.22,0.31,5.32,3.98,2.67,2.29,3.73,5.01,2021-10-07,GB
9520,5.0,0.14,0.3,9.37,0.07,1.04,5.94,0.24,0.3,4.78,3.52,2.38,2.21,3.73,4.88,2021-10-08,GB
9521,5.46,0.09,0.32,10.58,0.05,0.96,6.06,0.21,0.3,5.18,4.46,2.57,2.4,3.97,4.88,2021-10-09,GB
9522,5.08,0.09,0.31,10.21,0.07,0.99,6.76,0.24,0.21,4.99,3.87,2.47,2.38,4.42,5.39,2021-10-10,GB
9523,5.09,0.09,0.35,10.32,0.09,1.17,6.72,0.23,0.33,5.11,4.11,2.55,2.32,4.07,5.25,2021-10-11,GB
9524,5.23,0.14,0.39,10.05,0.06,1.2,6.84,0.22,0.3,5.0,3.97,2.44,2.26,3.85,5.29,2021-10-12,GB
9525,5.5,0.08,0.34,10.29,0.08,1.13,7.02,0.21,0.31,5.11,4.1,2.52,2.12,3.64,4.83,2021-10-13,GB
9526,5.16,0.1,0.31,9.8,0.07,1.15,6.17,0.21,0.29,5.04,3.8,2.36,2.2,3.75,5.29,2021-10-14,GB
9527,4.89,0.1,0.4,9.65,0.11,1.08,5.61,0.24,0.27,4.7,4.22,2.46,2.12,3.67,4.7,2021-10-15,GB
9528,4.64,0.09,0.31,9.66,0.07,0.91,5.98,0.2,0.32,4.8,3.87,2.63,2.32,3.8,4.97,2021-10-16,GB
9529,5.33,0.11,0.32,10.07,0.06,1.14,6.76,0.26,0.29,5.46,4.24,2.87,2.5,4.19,5.29,2021-10-17,GB
9530,5.55,0.11,0.37,10.12,0.09,1.29,6.95,0.23,0.3,5.49,4.23,2.46,2.58,4.38,5.74,2021-10-18,GB
9531,5.51,0.14,0.27,10.16,0.09,1.24,7.21,0.44,0.26,5.36,3.86,2.59,2.47,3.99,5.22,2021-10-19,GB
9532,4.91,0.11,0.32,9.66,0.07,1.13,6.53,0.29,0.32,5.0,3.65,2.29,2.73,4.5,5.12,2021-10-20,GB
9533,4.67,0.09,0.37,9.53,0.07,1.15,6.14,0.29,0.27,4.74,3.83,2.25,2.13,3.87,4.73,2021-10-21,GB
9534,4.51,0.12,0.3,9.41,0.05,0.96,5.85,0.23,0.23,4.56,3.9,2.32,2.36,3.68,4.63,2021-10-22,GB
9535,4.72,0.06,0.36,9.71,0.07,1.03,5.79,0.2,0.26,5.1,3.79,2.65,2.39,3.95,5.04,2021-10-23,GB
9536,4.99,0.15,0.36,9.91,0.09,1.09,6.26,0.23,0.33,5.15,3.7,2.6,2.23,3.96,5.44,2021-10-24,GB
9537,5.19,0.1,0.34,10.44,0.06,1.13,6.6,0.21,0.25,5.0,3.95,2.52,2.23,4.04,5.25,2021-10-25,GB
9538,4.71,0.08,0.33,10.16,0.08,1.13,7.5,0.28,0.27,5.1,3.82,2.5,2.41,3.85,5.06,2021-10-26,GB
9539,4.68,0.13,0.25,9.85,0.08,1.09,7.0,0.22,0.32,4.9,3.62,2.65,2.36,3.68,4.97,2021-10-27,GB
9540,4.64,0.11,0.28,9.57,0.06,1.17,7.15,0.2,0.28,5.03,3.65,2.45,2.42,3.78,4.92,2021-10-28,GB
9541,4.02,0.08,0.24,8.71,0.07,1.02,6.83,0.22,0.26,4.71,3.27,2.29,2.26,3.72,4.79,2021-10-29,GB
9542,4.0,0.09,0.36,8.65,0.07,1.05,5.83,0.16,0.17,4.64,3.25,2.16,2.28,4.0,4.62,2021-10-30,GB
9543,4.19,0.05,0.3,8.57,0.05,1.07,5.93,0.18,0.27,5.17,3.34,2.26,2.42,4.23,5.17,2021-10-31,GB
9544,4.41,0.1,0.33,9.18,0.07,1.27,6.68,0.25,0.28,4.92,3.55,2.35,2.33,4.08,5.45,2021-11-01,GB
9545,4.5,0.11,0.35,8.96,0.06,1.26,6.75,0.24,0.26,5.04,3.56,2.29,2.19,3.84,5.19,2021-11-02,GB
9546,4.4,0.07,0.3,8.58,0.07,1.32,6.46,0.22,0.26,5.03,3.65,2.24,2.17,3.48,4.89,2021-11-03,GB
